# door positions for CSL (= multiplayer planes)
# ICAO door x y z
#
# position is in meters relative to ZERO of the CSL
# axes: +x to the left, +y up, +z to the tail
# ZERO seems to be:
#   x,z CG position
#     y ground level below CG
#
A319 1 -1.80 3.05 -10.29
A320 1 -1.80 3.05 -11.89
A20N 1 -1.80 3.05 -11.89
A321 1 -1.80 3.05 -15.84
A21N 1 -1.80 3.05 -15.84
A332 1 -2.70 4.00 -20.50
A332 2 -2.90 4.00 -10.00
A333 1 -2.70 4.00 -22.50
A333 2 -2.90 4.00 -10.00
A343 1 -2.80 4.00 -22.50
A343 2 -2.90 4.00 -10.00
A346 1 -2.93 4.00 -29.50
A346 2 -2.93 4.00 -10.00
A388 1 -3.20 5.00 -27.50
A388 2 -3.50 5.00 -17.00
A388 3 -3.50 7.00 -14.00
B744 1 -3.00 4.00 -27.50
B744 2 -3.00 4.00 -14.50
B748 1 -3.00 4.00 -27.50
B748 2 -3.00 4.00 -14.50
B763 1 -2.51 4.00 -17.50
CRJ9 1 -1.20 1.50 -13.29
# below needs more tuning
A220 1 -1.70 3.05 -10.00
B38M 1 -1.80 2.50 -11.89
B738 1 -1.80 3.00 -12.50
A330 1 -2.93 4.00 -17.40
A339 1 -2.93 4.00 -23.50
A359 1 -3.50 4.00 -20.50
B77W 1 -3.10 4.00 -29.50
B772 1 -3.10 4.00 -29.50
B788 1 -2.97 4.00 -25.50
B789 1 -2.97 4.00 -25.50
E190 1 -1.50 3.05 -11.00
E195 1 -1.50 3.05 -12.00
